instruction,input,output
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,Человеческий капитал  социальная сфера,5
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,Пространственное развитие,10
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,Приложение 4. КАДРОВОЕ ОБЕСПЕЧЕНИЕ СТРАТЕГИИ,11
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,Введение,1
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,I. Общие положения,1
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,II. Цели  задачи  приоритеты и направления социально-экономического развития Республики Алтай,3
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,2.2. Цели и задачи социально-экономического развития Республики Алтай на период до 2035 года,3
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,2.3. Приоритеты и направления социально-экономического развития Республики Алтай,3
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,2.4. Показатели достижения цели и ожидаемые результаты реализации Стратегии,16
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,III. Сценарии развития Республики Алтай,4
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,Инерционный сценарий,4
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,Интенсивный сценарий,4
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,Инновационный сценарий,4
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,IV. Основные направления развития человеческого капитала и социальной сферы,5
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,VI. Основные направления научно-инновационной сферы,7
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,VII. Основные направления рационального природопользования и обеспечения экологической безопасности,8
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,VIII. Основные направления развития межрегиональных и внешнеэкономических связей,9
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,Развитие внешнеэкономических связей,9
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,Развитие межрегионального сотрудничества,9
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,IX. Пространственное социально-экономическое развитие территории республики,10
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,IX.I. Сведения о кадровом обеспечении экономики Республики Алтай,11
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,10.2. Сроки и этапы реализации Стратегии,14
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,10.5. Ресурсное обеспечение Стратегии,13
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,Приложение N 4. ПОКАЗАТЕЛИ ФИНАНСОВОГО ОБЕСПЕЧЕНИЯ ГОСУДАРСТВЕННЫХ ПРОГРАММ РЕСПУБЛИКИ АЛТАЙ ЗА СЧЕТ СРЕДСТВ РЕСПУБЛИКАНСКОГО БЮДЖЕТА РЕСПУБЛИКИ АЛТАЙ <*>,18
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,Приложение N 5. ДИНАМИКА ПОКАЗАТЕЛЕЙ РЕАЛИЗАЦИИ СТРАТЕГИИ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ РЕСПУБЛИКИ АЛТАЙ НА ПЕРИОД ДО 2035 ГОДА,15
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,1.1. Социально-экономическое развитие Республики Башкортостан в 2010 - 2016 годах,2
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,1.4. Приоритеты  цели и задачи социально-экономического развития Республики Башкортостан на период до 2030 года,3
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,1.5. Сценарии социально-экономического развития Республики Башкортостан на период до 2030 года,4
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,1.6. Ожидаемые результаты реализации Стратегии,16
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,2. НАПРАВЛЕНИЯ И ПРОЕКТЫ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ РЕСПУБЛИКИ БАШКОРТОСТАН НА ПЕРИОД ДО 2030 ГОДА,6
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,2.1. Человеческий капитал,5
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,3. ЗАКЛЮЧИТЕЛЬНАЯ ЧАСТЬ,12
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,3.1. Сроки и этапы реализации Стратегии,14
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,3.2. Оценка финансовых ресурсов  необходимых для реализации Стратегии,13
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,2.1. Человеческий капитал,5
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,Приложение N 3. ПЕРЕЧЕНЬ КРУПНЫХ ИНВЕСТИЦИОННЫХ ПРОЕКТОВ РЕСПУБЛИКИ БАШКОРТОСТАН,17
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,Приложение N 4. ПЕРЕЧЕНЬ ЦЕЛЕЙ  ЗАДАЧ И ЦЕЛЕВЫХ ОРИЕНТИРОВ СТРАТЕГИИ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ РЕСПУБЛИКИ БАШКОРТОСТАН НА ПЕРИОД ДО 2030 ГОДА,3
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,Приложение N 5. ПЕРЕЧЕНЬ ГОСУДАРСТВЕННЫХ ПРОГРАММ РЕСПУБЛИКИ БАШКОРТОСТАН,18
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,Планируемые к разработке государственные программы Республики Башкортостан,18
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,Приложение N 7. ПАСПОРТА ПРИОРИТЕТНЫХ ПРОЕКТОВ,17
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,1. Общие положения,1
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,2. Оценка достигнутых целей социально-экономического развития Республики Бурятия,2
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,2.2. Оценка основных итогов социально-экономического развития Республики Бурятия за 2008 - 2017 годы,2
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,3.2. Стратегическая цель  приоритеты и задачи развития Республики Бурятия,3
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,3.3. Сценарии и этапы социально-экономического развития Республики Бурятия,4
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,4. Развитие человеческого потенциала,5
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,4.1. Стратегические направления развития человеческого потенциала,6
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,11. Стратегия внешнеэкономической деятельности,9
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,11.1. Стратегические направления развития внешнеэкономической деятельности,9
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,11.2. Пространственная платформа развития внешнеэкономического сотрудничества Республики Бурятия,9
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,11.4. Направления межрегиональных взаимодействий,9
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,13. Пространственное развитие,10
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,1. Модель формирования сети пространственного развития (подход к выделению центров (зон) роста),10
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,2. Кластерная модель пространственного развития (подход мезоэкономической кооперации),10
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,14. Кадровое обеспечение экономики,11
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,16. Оценка финансовых ресурсов  необходимых для реализации Стратегии,13
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,Приложение 1. ПЕРЕЧЕНЬ ГОСУДАРСТВЕННЫХ ПРОГРАММ РЕСПУБЛИКИ БУРЯТИЯ,18
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,Приложение 2. Показатели достижения целей социально-экономического развития Республики Бурятия на период до 2035 года (консервативный вариант),15
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,Показатели достижения целей социально-экономического развития Республики Бурятия на период до 2035 года (умеренно-оптимистичный),15
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,Показатели достижения целей социально-экономического развития Республики Бурятия на период до 2035 года (инновационный вариант),15
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,Приложение 3. ПЕРЕЧЕНЬ ОСНОВНЫХ ИНВЕСТИЦИОННЫХ ПРОЕКТОВ  РЕАЛИЗУЕМЫХ И ПЛАНИРУЕМЫХ К РЕАЛИЗАЦИИ НА ТЕРРИТОРИИ РЕСПУБЛИКИ БУРЯТИЯ В РАМКАХ СТРАТЕГИИ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ РЕСПУБЛИКИ БУРЯТИЯ НА ПЕРИОД ДО 2035 ГОДА,17
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,6.3. Строительный комплекс,-1
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,6.4. Промышленность строительных материалов,-1
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,7. Стратегия развития агропромышленного комплекса,-1
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,7.1. Стратегические направления развития агропромышленного комплекса,-1
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,7.2. Развитие основных отраслей агропромышленного комплекса,-1
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,7.3. Механизмы развития агропромышленного комплекса,-1
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,8. Развитие сервисной экономики,-1
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,8.1. Стратегические направления развития сервисной экономики,-1
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,8.1. Развитие предпринимательства в сфере услуг,-1
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,8.3. Создание центра туризма международного уровня,-1
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,"""9. Запуск ключевых проектов - """"драйверов"""" роста""",-1
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,10. Развитие инфраструктурного каркаса,-1
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,10.1. Стратегические направления развития инфраструктуры,-1
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,10.2. Транспортная инфраструктура,-1
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,10.3. Энергетическая инфраструктура,-1
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,10.4. Связь и услуги Интернета,-1
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,10.5. Развитие жилищно-коммунальной сферы,-1
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,11.3. Развитие экспортно-ориентированных производств,-1
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,12. Экологическая политика,-1
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,Таблица 8,-1
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,Таблица 11,-1
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,15. Механизмы реализации Стратегии,-1
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,15.1. Формирование инновационной экономики,-1
К какому разделу относится предложение:\n\n1\n2\n3\n4\n5\n6\n7\n8\n9\n10\n11\n12\n13\n14\n15\n16\n17\n18\n-1\n\n,15.2. Совершенствование государственного управления,-1
